Datum,Depth_[m],Temp_[C]
28.05.86,0,17.4
28.05.86,5,12.5
28.05.86,10,8.0
28.05.86,20,5.6
28.05.86,30,5.0
28.05.86,40,4.9
09.07.86,0,21.1
09.07.86,5,17.0
09.07.86,10,10.2
09.07.86,20,7.1
09.07.86,30,6.2
09.07.86,40,4.8
30.09.86,0,15.9
30.09.86,5,16.0
30.09.86,10,16.0
30.09.86,20,7.0
30.09.86,30,6.2
30.09.86,40,5.5
21.10.86,0,14.6
21.10.86,5,14.5
21.10.86,10,8.9
21.10.86,20,7.7
21.10.86,30,6.5
21.10.86,40,
26.11.86,0,9.0
26.11.86,5,9.0
26.11.86,10,9.0
26.11.86,20,8.5
26.11.86,30,6.0
26.11.86,40,5.5
18.12.86,0,7.6
18.12.86,5,7.6
18.12.86,10,7.6
18.12.86,20,7.6
18.12.86,30,7.4
18.12.86,40,7.5
18.02.87,0,3.1
18.02.87,5,3.7
18.02.87,10,3.7
18.02.87,20,3.6
18.02.87,30,3.6
18.02.87,40,4.0
18.03.87,0,3.1
18.03.87,5,3.2
18.03.87,10,3.2
18.03.87,20,3.3
18.03.87,30,3.4
18.03.87,40,3.3
15.04.87,0,6.7
15.04.87,5,5.7
15.04.87,10,5.8
15.04.87,20,5.7
15.04.87,30,5.7
15.04.87,40,5.7
13.05.87,0,9.5
13.05.87,5,8.8
13.05.87,10,8.0
13.05.87,20,7.3
13.05.87,30,7.3
13.05.87,40,7.3
17.06.87,0,15.8
17.06.87,5,13.9
17.06.87,10,11.5
17.06.87,20,8.6
17.06.87,30,7.2
17.06.87,40,6.3
15.07.87,0,22.6
15.07.87,5,17.7
15.07.87,10,11.8
15.07.87,20,8.5
15.07.87,30,7.8
15.07.87,40,7.6
26.08.87,0,21.1
26.08.87,5,20.0
26.08.87,10,15.6
26.08.87,20,12.2
26.08.87,30,9.8
26.08.87,40,8.9
09.09.87,0,21.4
09.09.87,5,20.7
09.09.87,10,17.5
09.09.87,20,9.2
09.09.87,30,8.3
09.09.87,40,8.2
16.10.87,0,14.1
16.10.87,5,13.7
16.10.87,10,13.6
16.10.87,20,9.5
16.10.87,30,7.5
16.10.87,40,8.0
18.11.87,0,10.9
18.11.87,5,10.8
18.11.87,10,10.7
18.11.87,20,10.4
18.11.87,30,9.9
18.11.87,40,8.1
09.12.87,0,7.3
09.12.87,5,8.3
09.12.87,10,8.4
09.12.87,20,8.4
09.12.87,30,8.2
09.12.87,40,8.1
27.01.88,0,6.7
27.01.88,5,6.8
27.01.88,10,6.8
27.01.88,20,6.8
27.01.88,30,6.7
27.01.88,40,6.7
17.02.88,0,5.8
17.02.88,5,5.3
17.02.88,10,5.3
17.02.88,20,5.5
17.02.88,30,5.5
17.02.88,40,5.5
23.03.88,0,6.2
23.03.88,5,6.2
23.03.88,10,6.2
23.03.88,20,6.1
23.03.88,30,6.1
23.03.88,40,6.1
20.04.88,0,10.2
20.04.88,5,8.7
20.04.88,10,7.8
20.04.88,20,7.5
20.04.88,30,7.0
20.04.88,40,7.6
18.05.88,0,15.9
18.05.88,5,13.8
18.05.88,10,10.9
18.05.88,20,9.1
18.05.88,30,7.2
18.05.88,40,7.7
22.06.88,0,21.6
22.06.88,5,19.2
22.06.88,10,15.9
22.06.88,20,13.4
22.06.88,30,9.5
22.06.88,40,10.2
20.07.88,0,23.0
20.07.88,5,21.5
20.07.88,10,15.6
20.07.88,20,8.9
20.07.88,30,7.4
20.07.88,40,7.9
17.08.88,0,24.8
17.08.88,5,22.0
