Depth [m]    Area [m2]
  -0.0     23000000
  -1.0     22067733
  -2.0     21226026
  -3.0     20468097
  -4.0     19787162
  -5.0     19176439
  -6.0     18629144
  -7.0     18138495
  -8.0     17697708
  -9.0     17300000
 -10.0     16938588
 -11.0     16606689
 -12.0     16297521
 -13.0     16004299
 -14.0     15720240
 -15.0     15438563
 -16.0     15152483
 -17.0     14855218
 -18.0     14539985
 -19.0     14200000
 -20.0     13830114
 -21.0     13431711
 -22.0     13007809
 -23.0     12561425
 -24.0     12095577
 -25.0     11613283
 -26.0     11117561
 -27.0     10611428
 -28.0     10097902
 -29.0      9580000
 -30.0      9059666
 -31.0      8534547
 -32.0      8001215
 -33.0      7456242
 -34.0      6896201
 -35.0      6317663
 -36.0      5717202
 -37.0      5091390
 -38.0      4436798
 -39.0      3750000
 -40.0      3033304
 -41.0      2311965
 -42.0      1616974
 -43.0       979322
 -44.0       430000
 -45.0            0
